5:24:11 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
5:24:20 AM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
5:24:20 AM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
5:24:20 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9ImVEZ250bVdsOGxadWF5bnRtLkNRYzJPZG5vWiIgSXNzdWVJbnN0YW50PSIyMDE3LTA2LTMwVDEyOjI0OjIwLjAyOFoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJBTVhzcDEuLks1SldVbHRSejlUS1o3SWlCNlEiIElzc3VlSW5zdGFudD0iMjAxNy0wNi0zMFQxMjoyNDoyMC4wMjhaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI0FNWHNwMS4uSzVKV1VsdFJ6OVRLWjdJaUI2USI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPnNIZnZYMHB3RGdjajg4M25KV0h3Wm9xMittdWVhYUQzMEhIY29abXF6MGc9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpsTFBCSS9Jc1VMMVJkbC96d0tDUEtGZEZqUUZPZnlNS3pqZHVNNEFhSG1HU1N5TWhtQ1A4OExhRGxFdGVoZko3RUI2V29mTTN2ZGU1CnlOYU4wM0RoVWY1ckV3MEIwS2VnR3BPN2hsbmYraUhvSGdQL0Y4eG5OcEk5Y1ZSSDZweEM4SHhMbnhJbEN1VkdXUHNKVDlEQmlLUFQKcDM1bXBZdk1zaDZEZS8yMW8rekZPVytCZmFoeFhyakpTTy9zM1RvZFNuYUl3K2t4eHRFU3VRUEt3OWVVT1dGV2VPajVsYmJmNThsZgpKT0hLbTVYRmp1UlE1SGVHMzZrczVrYnhVRDZpZ1k4U1BTWXRaSzZaL1d4MElqeUNNSDRFditBbFpIZGZYMUFzK0wxam9lNndKQ2ErCnZ6S3pKZnVOZzVpWWZVKzZyOHNubjF0UllOang5ZHVCcFBCZ2NBPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+Z3MzNWd1cjwvc2FtbDpOYW1lSUQ+PHNhbWw6U3ViamVjdENvbmZpcm1hdGlvbiBNZXRob2Q9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDpjbTpiZWFyZXIiPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb25EYXRhIFJlY2lwaWVudD0iaHR0cHM6Ly9uMDFhcHczMTcxLnRlbnQudHJ0LmNzYWEucHJpL3BheW1lbnR0b29sbXNjci9mb3Jtcy9sb2dpbi5hc3B4IiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDYtMzBUMTI6Mjk6MjAuMDI4WiIvPjwvc2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uPjwvc2FtbDpTdWJqZWN0PjxzYW1sOkNvbmRpdGlvbnMgTm90QmVmb3JlPSIyMDE3LTA2LTMwVDEyOjE5OjIwLjAyOFoiIE5vdE9uT3JBZnRlcj0iMjAxNy0wNi0zMFQxMjoyOToyMC4wMjhaIj48c2FtbDpBdWRpZW5jZVJlc3RyaWN0aW9uPjxzYW1sOkF1ZGllbmNlPlBheW1lbnRUb29sOlNQPC9zYW1sOkF1ZGllbmNlPjwvc2FtbDpBdWRpZW5jZVJlc3RyaWN0aW9uPjwvc2FtbDpDb25kaXRpb25zPjxzYW1sOkF1dGhuU3RhdGVtZW50IFNlc3Npb25JbmRleD0iQU1Yc3AxLi5LNUpXVWx0Uno5VEtaN0lpQjZRIiBBdXRobkluc3RhbnQ9IjIwMTctMDYtMzBUMTI6MjQ6MjAuMDI4WiI+PHNhbWw6QXV0aG5Db250ZXh0PjxzYW1sOkF1dGhuQ29udGV4dENsYXNzUmVmPnVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphYzpjbGFzc2VzOnVuc3BlY2lmaWVkPC9zYW1sOkF1dGhuQ29udGV4dENsYXNzUmVmPjwvc2FtbDpBdXRobkNvbnRleHQ+PC9zYW1sOkF1dGhuU3RhdGVtZW50Pjwvc2FtbDpBc3NlcnRpb24+PC9zYW1scDpSZXNwb25zZT4=
5:24:20 AM: Source:Forms.login.Page_Load, Message:Replay attack check
5:24:20 AM: Source:Forms.login.Page_Load, Message:NotBefore6/30/2017 5:19:20 AM
5:24:20 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter6/30/2017 5:29:20 AM
5:24:20 AM: Source:Forms.login.Page_Load, Message:CurrentDate6/30/2017 5:24:20 AM
5:24:20 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
5:24:20 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
5:24:20 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
