12:08:44 AM: Source:Forms.login.Page_Load, Message:Session Expired/Redirecting to logout Page 
12:08:46 AM: Source:Forms.login.Page_Load, Message:Request sent to SSO 
12:08:47 AM: Source:Forms.login.Page_Load, Message:The User is not Authenticated, So Session is Abandoned 
12:08:47 AM: Source:Forms.login.Page_Load, Message:Response received from SSO. 
12:08:47 AM: Source:Forms.login.Page_Load, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9ImhPTjg2LmtFYWFwdFN1enRJS1pTcTNqR2J0YSIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTA3VDA3OjA4OjQ3LjY0OVoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJ1Vk9iTm5iTlJvZk1OUHBsd2JoVTRYRUJOWU8iIElzc3VlSW5zdGFudD0iMjAxNy0wNy0wN1QwNzowODo0Ny42NDlaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI3VWT2JObmJOUm9mTU5QcGx3YmhVNFhFQk5ZTyI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPnlQUkhHa3Q3aXZURXA0cGRXaGNpZTYzVER3OGc5TFovTW5sMjluQnpYT1U9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpBNWtrS0pTYTZQWVlTWmVYa0crU1VoRThoWjh3MktIWjVKSjF5TTJNb3JrMEE2SkcvbHA5YmhpeE5QVmNmdmhPUHRYbk9yTGozcVY0CkQxVXQrTXMwVGdBRzBock9wUGNTd1ZKZkVEenA0SjYwN1pCWWVpWW1vdytjVjliTVVOYTZNNDFWWkw3eGYvd3hZYnFISGNHRWcwejcKYk5kK2FxY0djc0JsTCt4NnlmRVlTTmV5Ulc0OXN3ZWQzb1lSTDQ5dkh3TUppQkw2SFgwTmJZU1llbXQ4dWE4cWwrS0lOWXlxTEw4cApiQmlkNS9vUS9BVzN3OU9xaitpWUhZNXJZU3E1K3YxWkF2VlFmTCtTT3pWM1JOL3p2UERmSU1KaE02RFpWS21VNVM0M3FUU3YzNm1pClRmVkhwdnNTeEVYN21iYjFEM1MxdGtnY0dBQ0JaaUVvSnlobGVnPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTA3VDA3OjEzOjQ3LjY0OVoiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0wN1QwNzowMzo0Ny42NDlaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMDdUMDc6MTM6NDcuNjQ5WiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9InVWT2JObmJOUm9mTU5QcGx3YmhVNFhFQk5ZTyIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTA3VDA3OjA4OjQ3LjY0OVoiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
12:08:47 AM: Source:Forms.login.Page_Load, Message:Replay attack check
12:08:47 AM: Source:Forms.login.Page_Load, Message:NotBefore7/7/2017 12:03:47 AM
12:08:47 AM: Source:Forms.login.Page_Load, Message:NotOnOrAfter7/7/2017 12:13:47 AM
12:08:47 AM: Source:Forms.login.Page_Load, Message:CurrentDate7/7/2017 12:08:47 AM
12:08:47 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
12:08:47 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
12:08:47 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : n01apw3171.tent.trt.csaa.pri
12:08:47 AM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate subject name to be validated is : System.Security.Cryptography.X509Certificates.X509Certificate2
