9:02:26 PM: Source:forms_login_aspx.ProcessRequest, Message:Session Expired/Redirecting to logout Page 
9:02:27 PM: Source:forms_login_aspx.ProcessRequest, Message:Session Expired/Redirecting to logout Page 
9:02:31 PM: Source:forms_login_aspx.ProcessRequest, Message:Request sent to SSO 
9:02:41 PM: Source:forms_login_aspx.ProcessRequest, Message:The User is not Authenticated, So Session is Abandoned 
9:02:41 PM: Source:forms_login_aspx.ProcessRequest, Message:Response received from SSO. 
9:02:41 PM: Source:forms_login_aspx.ProcessRequest, Message:SSO Response: PHNhbWxwOlJlc3BvbnNlIFZlcnNpb249IjIuMCIgSUQ9InI5TWVUdzB4a0pFNy1XRHh5LW5QZzVRak9mUSIgSXNzdWVJbnN0YW50PSIyMDE3LTA3LTEwVDA0OjAyOjQwLjQ5NFoiIHhtbG5zOnNhbWxwPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6cHJvdG9jb2wiPjxzYW1sOklzc3VlciB4bWxuczpzYW1sPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YXNzZXJ0aW9uIj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PHNhbWxwOlN0YXR1cz48c2FtbHA6U3RhdHVzQ29kZSBWYWx1ZT0idXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOnN0YXR1czpTdWNjZXNzIi8+PC9zYW1scDpTdGF0dXM+PHNhbWw6QXNzZXJ0aW9uIElEPSJTcnAyQzZDWmp0MV9Rd3NMNjV0VWotODhWNngiIElzc3VlSW5zdGFudD0iMjAxNy0wNy0xMFQwNDowMjo0MC42MDNaIiBWZXJzaW9uPSIyLjAiIHhtbG5zOnNhbWw9InVybjpvYXNpczpuYW1lczp0YzpTQU1MOjIuMDphc3NlcnRpb24iPjxzYW1sOklzc3Vlcj5QYXltZW50VG9vbDpTUDwvc2FtbDpJc3N1ZXI+PGRzOlNpZ25hdHVyZSB4bWxuczpkcz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnIyI+CjxkczpTaWduZWRJbmZvPgo8ZHM6Q2Fub25pY2FsaXphdGlvbk1ldGhvZCBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8ZHM6U2lnbmF0dXJlTWV0aG9kIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMS8wNC94bWxkc2lnLW1vcmUjcnNhLXNoYTI1NiIvPgo8ZHM6UmVmZXJlbmNlIFVSST0iI1NycDJDNkNaanQxX1F3c0w2NXRVai04OFY2eCI+CjxkczpUcmFuc2Zvcm1zPgo8ZHM6VHJhbnNmb3JtIEFsZ29yaXRobT0iaHR0cDovL3d3dy53My5vcmcvMjAwMC8wOS94bWxkc2lnI2VudmVsb3BlZC1zaWduYXR1cmUiLz4KPGRzOlRyYW5zZm9ybSBBbGdvcml0aG09Imh0dHA6Ly93d3cudzMub3JnLzIwMDEvMTAveG1sLWV4Yy1jMTRuIyIvPgo8L2RzOlRyYW5zZm9ybXM+CjxkczpEaWdlc3RNZXRob2QgQWxnb3JpdGhtPSJodHRwOi8vd3d3LnczLm9yZy8yMDAxLzA0L3htbGVuYyNzaGEyNTYiLz4KPGRzOkRpZ2VzdFZhbHVlPnV3dXBXeGkvc1graFozS0dUZlREa2prNmdlZHA2NmYvYkpHTEViL0dUbHc9PC9kczpEaWdlc3RWYWx1ZT4KPC9kczpSZWZlcmVuY2U+CjwvZHM6U2lnbmVkSW5mbz4KPGRzOlNpZ25hdHVyZVZhbHVlPgpLOGxNSnZibTdPWjBZV0pkOERrL2s5NzRTK2RuemNuTmNhUlhRWEJTTzNjbFpTUWJ4eHFlbkdjZ2hiNUEvdnYrZlk1WjV1dDVMNTBGCk1pdW9jM0lCNHhhNTBPR3YrYjhZcWVwNjcrTFd0bnlVVnkvTGFBM1VpUEs2Y0N4a2M5Wjd3OFRrMTRqYmhZQlJwU1FweXQ4SENsN0QKWlpoOW50Y25QSTY5VGZuNUtqdnp4YWh4RURPLytRdnJxK0w3S0ppdGFIRWZVRk53bzV6L0xNMzBIZHdrYy9yS2pFeDhjYnB3M1paSwp0NW15OC9UK0NOQUliNmM4YzhUQUwxYk50eU9Wd1RzemRoVXhpU0IvQzFlRjhXMTlVWkxZSUdVUDdmelJub2ZqYmZpazN2Zk52dGxyClY0WWpjVE0zNjRCNEhCWDZHWjRZOGRab1FhZ0Z1TkxmRWxnbnhRPT0KPC9kczpTaWduYXR1cmVWYWx1ZT4KPC9kczpTaWduYXR1cmU+PHNhbWw6U3ViamVjdD48c2FtbDpOYW1lSUQgRm9ybWF0PSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoxLjE6bmFtZWlkLWZvcm1hdDp1bnNwZWNpZmllZCI+eGdzMzVndXI8L3NhbWw6TmFtZUlEPjxzYW1sOlN1YmplY3RDb25maXJtYXRpb24gTWV0aG9kPSJ1cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6Y206YmVhcmVyIj48c2FtbDpTdWJqZWN0Q29uZmlybWF0aW9uRGF0YSBSZWNpcGllbnQ9Imh0dHBzOi8vbjAxYXB3MzE3MS50ZW50LnRydC5jc2FhLnByaS9wYXltZW50dG9vbG1zY3IvZm9ybXMvbG9naW4uYXNweCIgTm90T25PckFmdGVyPSIyMDE3LTA3LTEwVDA0OjA3OjQwLjYwM1oiLz48L3NhbWw6U3ViamVjdENvbmZpcm1hdGlvbj48L3NhbWw6U3ViamVjdD48c2FtbDpDb25kaXRpb25zIE5vdEJlZm9yZT0iMjAxNy0wNy0xMFQwMzo1Nzo0MC42MDNaIiBOb3RPbk9yQWZ0ZXI9IjIwMTctMDctMTBUMDQ6MDc6NDAuNjAzWiI+PHNhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48c2FtbDpBdWRpZW5jZT5QYXltZW50VG9vbDpTUDwvc2FtbDpBdWRpZW5jZT48L3NhbWw6QXVkaWVuY2VSZXN0cmljdGlvbj48L3NhbWw6Q29uZGl0aW9ucz48c2FtbDpBdXRoblN0YXRlbWVudCBTZXNzaW9uSW5kZXg9IlNycDJDNkNaanQxX1F3c0w2NXRVai04OFY2eCIgQXV0aG5JbnN0YW50PSIyMDE3LTA3LTEwVDA0OjAyOjQwLjYwM1oiPjxzYW1sOkF1dGhuQ29udGV4dD48c2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj51cm46b2FzaXM6bmFtZXM6dGM6U0FNTDoyLjA6YWM6Y2xhc3Nlczp1bnNwZWNpZmllZDwvc2FtbDpBdXRobkNvbnRleHRDbGFzc1JlZj48L3NhbWw6QXV0aG5Db250ZXh0Pjwvc2FtbDpBdXRoblN0YXRlbWVudD48L3NhbWw6QXNzZXJ0aW9uPjwvc2FtbHA6UmVzcG9uc2U+
9:02:41 PM: Source:MSCR.Forms.login.Page_Load, Message:Replay attack check
9:02:41 PM: Source:MSCR.Forms.login.Page_Load, Message:NotBefore7/9/2017 8:57:40 PM
9:02:41 PM: Source:MSCR.Forms.login.Page_Load, Message:NotOnOrAfter7/9/2017 9:07:40 PM
9:02:41 PM: Source:MSCR.Forms.login.Page_Load, Message:CurrentDate7/9/2017 9:02:41 PM
9:02:41 PM: Source:AuthenticationClasses.UserInfo.ProcessSSOResponse, Message:The certificate present in the certificate store is : xgg5ibho
